id,balance,limit
69-332-5036,20207.91,50000
23-120-5868,2930.31,50000
07-602-5781,21976.86,50000
57-423-3707,38827.94,50000
90-086-2893,3515.87,50000
41-323-2617,3460.17,50000
23-585-9159,10606.49,50000
36-329-0066,48969.92,50000
27-890-9716,45381.62,50000
50-700-4024,41408.47,50000
29-003-5223,8270.71,50000
45-931-3846,2415.66,50000
89-902-1749,44972.79,50000
35-009-8504,49971.07,50000
02-766-3900,13886.98,50000
50-467-7136,45465.96,50000
05-057-8526,37719.13,50000
91-212-3117,31867.86,50000
31-889-8394,37916.93,50000
80-534-9460,22451.38,50000
99-318-5754,34740.3,50000
78-967-2444,31509.59,50000
11-358-6893,31365.89,50000
13-401-3217,14757.24,50000
51-376-2998,44269.32,50000
20-919-1295,21811.28,50000
40-231-8620,48903.88,50000
77-237-2719,12362.3,50000
39-490-3116,29355.77,50000
55-247-7633,3443.67,50000
05-146-2464,36404.45,50000
97-361-4129,26814.41,50000
93-158-6740,35972.92,50000
08-399-5017,32925.45,50000
32-897-4636,11714.83,50000
64-945-2058,28554.25,50000
09-244-7670,33812.52,50000
65-981-2868,779.21,50000
10-478-3323,11594.69,50000
01-649-5827,10839.29,50000
96-206-0832,32117.51,50000
54-334-0170,17813.76,50000
22-426-8192,24497.24,50000
52-081-5829,1307.14,50000
38-666-2439,29943.79,50000
25-029-0326,21282.57,50000
00-003-2682,23275.59,50000
31-049-1750,46124.52,50000
86-245-4073,16339.87,50000
41-535-8148,38280.6,50000
26-302-3204,6017.76,50000
15-370-8113,38123.59,50000
82-132-6333,18988.82,50000
23-139-6124,2809.77,50000
03-909-1148,41955.9,50000
75-172-9825,37756.32,50000
94-929-9732,35476.94,50000
52-936-2664,34758.65,50000
05-434-7993,15922.85,50000
77-055-1701,13360.18,50000
00-380-1772,43528.95,50000
41-005-8660,19607.5,50000
18-046-7116,27375.71,50000
92-249-6015,15312.67,50000
03-713-9644,42003.65,50000
16-940-3212,42356.58,50000
43-085-2273,7723.09,50000
20-550-8806,35619.75,50000
80-338-6826,46295.53,50000
47-335-1523,31241.65,50000
43-021-7508,31670.31,50000
64-475-4490,20963.62,50000
20-802-2980,35476.9,50000
52-187-4518,36157.39,50000
11-067-8892,36852.36,50000
72-838-1891,12603.42,50000
35-001-9270,34329.05,50000
69-048-4316,44504.04,50000
20-417-7569,30497.04,50000
83-164-1327,37432.36,50000
71-634-9866,31789.78,50000
93-069-4830,8055.04,50000
18-968-0436,27229.69,50000
87-817-8606,46343.66,50000
24-891-8078,18054.08,50000
13-811-0099,15136.62,50000
43-834-3279,45056.91,50000
49-225-4134,41599.05,50000
45-588-7647,16649.8,50000
14-850-3564,8893.97,50000
35-034-3985,36295.28,50000
28-796-5795,8398.8,50000
30-371-7235,44133.12,50000
14-876-0965,27767.08,50000
70-283-9956,31384.02,50000
98-705-5866,15512.97,50000
14-975-8652,5729.45,50000
27-930-2069,18520.64,50000
83-702-4753,14899.93,50000
51-559-9709,33167.26,50000
26-280-7093,6909.67,50000
67-894-1731,26215.8,50000
78-306-6556,13789.88,50000
83-549-2703,12461.68,50000
92-009-0014,14862.19,50000
65-469-4878,1801.82,50000
07-074-3118,35264.98,50000
51-529-5318,39925.22,50000
33-273-5535,6682.08,50000
90-006-0855,40848.99,50000
08-762-0583,40192.06,50000
25-737-5143,27019.21,50000
04-449-7303,30921.68,50000
77-722-3862,9822.77,50000
73-010-5019,48784.18,50000
93-932-1014,44963.96,50000
69-971-9961,10290.48,50000
71-822-5397,32570.55,50000
99-186-4742,7277.1,50000
09-706-4364,42161.66,50000
60-942-5767,3402.61,50000
37-314-4531,11226.14,50000
01-336-8357,35911.01,50000
22-082-5302,19246.88,50000
84-166-1156,18512.5,50000
20-378-2904,34213.33,50000
91-113-1609,15963.19,50000
07-226-8385,19791.13,50000
61-972-0106,21640.01,50000
10-596-5276,3332.29,50000
46-732-0982,645.04,50000
48-989-4361,47758.29,50000
62-799-5158,7381.23,50000
96-901-5331,48575.12,50000
06-662-6153,15563.81,50000
95-275-5219,1107.94,50000
65-969-8001,21739.81,50000
02-919-2463,15320.71,50000
06-478-5858,14754.99,50000
68-611-9573,30953.88,50000
39-420-6343,22032.11,50000
59-121-1755,8521.85,50000
18-504-0542,47415.68,50000
81-999-8536,33297.99,50000
68-846-7586,37964.09,50000
08-323-2589,470.13,50000
15-932-8567,47217.89,50000
44-627-1730,22588.58,50000
03-519-9973,9146.58,50000
72-931-0548,28094.02,50000
67-682-0034,663.62,50000
70-525-4029,17144.15,50000
92-601-0041,27060.87,50000
82-020-8239,30791.36,50000
57-151-9732,19132.02,50000
30-494-9586,31151.82,50000
07-747-5494,29736.1,50000
42-970-3808,27085.45,50000
16-962-2374,14107.45,50000
71-440-2318,32425.13,50000
99-126-8889,29308.22,50000
25-337-0383,44576.5,50000
99-220-7549,2554.15,50000
54-594-9346,3562.52,50000
81-982-6491,5896.24,50000
35-372-6329,43208.72,50000
82-743-3797,42159.57,50000
27-612-7774,42104.83,50000
29-215-6752,38752.52,50000
78-296-6387,48879.06,50000
11-503-2432,30630.29,50000
97-474-8278,17612.33,50000
04-530-2094,21462.34,50000
88-971-9314,3405.35,50000
14-763-4154,16878.4,50000
25-118-6266,6557.42,50000
64-724-1125,4341.15,50000
67-519-0719,27370.94,50000
96-633-4947,30950.78,50000
76-053-7345,3838.58,50000
33-807-6321,26068.23,50000
43-432-4368,2734.39,50000
55-166-7307,48209.87,50000
44-707-4862,32029.47,50000
37-750-5903,44269.56,50000
07-945-7691,46372.12,50000
59-720-2815,45861.76,50000
51-561-5252,33898.47,50000
72-048-3135,8057.81,50000
23-906-4710,3765.44,50000
07-379-4791,19979.27,50000
32-363-8062,1219.92,50000
68-529-7488,23732.98,50000
04-166-6869,42537.65,50000
71-325-5414,45630.72,50000
07-444-8023,30991.1,50000
83-231-0246,12716.99,50000
27-503-6441,27052.07,50000
61-797-3523,3282.3,50000
78-071-3707,16905.34,50000
24-664-1696,4035.59,50000
64-440-7109,24648.02,50000
71-319-9793,9720.34,50000
69-396-9195,45823.13,50000
24-583-5136,35542.73,50000
13-986-5868,19433.24,50000
20-705-0849,24709.67,50000
81-224-1595,27902.08,50000
60-022-7307,29343.9,50000
87-134-1099,29264.78,50000
76-985-9654,29731.06,50000
90-934-7661,43275.25,50000
93-674-6552,45009.93,50000
10-208-8431,40351.7,50000
33-963-1455,32457.7,50000
73-584-6162,2649.39,50000
27-974-6815,35185.12,50000
40-065-1795,3142.68,50000
72-162-8332,17213.13,50000
67-261-8992,36843.23,50000
13-067-3501,33703.25,50000
77-533-9451,49449.83,50000
13-942-8064,20381.08,50000
26-713-1979,14500.08,50000
24-030-3091,13978.83,50000
29-220-5475,33875.67,50000
70-466-5102,22920.23,50000
00-939-5951,48998.85,50000
49-787-4286,29667.92,50000
21-325-0158,42032.32,50000
08-578-7332,6960.95,50000
48-500-6521,14717.64,50000
92-289-0413,32729.65,50000
95-208-8072,27820.01,50000
58-958-7655,34323.29,50000
42-140-8608,23881.89,50000
93-180-0384,21612.5,50000
08-931-8328,3232.79,50000
00-999-4618,2497.71,50000
48-700-6487,14527.89,50000
40-672-8038,49720.74,50000
41-064-4592,35410.16,50000
19-930-7627,34795.42,50000
74-406-7603,43227.24,50000
40-742-3783,4920.56,50000
34-764-2692,30242.05,50000
45-632-0775,30309.86,50000
66-276-1716,30966.36,50000
92-797-5989,7847.29,50000
09-686-5187,6183.9,50000
49-220-9343,30647.92,50000
39-840-0347,6877.68,50000
40-086-8669,1515.97,50000
49-587-7855,29666.45,50000
79-658-0998,43837.97,50000
42-677-7711,40672.38,50000
06-683-2022,9861.17,50000
21-326-1257,43717.86,50000
41-335-6120,30239.1,50000
99-615-6331,36910.33,50000
